Identifier,Title,NLI 1,NLI 2,Name of Author,Sex of Author,Year of Publication,Publisher,Number of Pages,Sub-Genre,Division within the Novel,Typical Chapter Length,Excerpts of Other Genres,Division to Paragraphs on a Typical Page,Type of Narrator,Role of Narrator in the Plot,"Narrator's Gender, Age, Religion",Characters in the Novel,Communication in the Novel,Number of Plot-lines,Novel's Exposition,Key Events,Fillers,Other Languages Used,The Bodies of Texts to which the Novel Reffers,Readability,Chronological Scope of the Novel,Main Epoch(s),Main Space(s),Main Geographical Location(s),Names of Places in the Novel,"Centrality of Israel (State, Land)",Themes,Centrality of Love,Type of Love,Intergenerational Relationships,Centrality of war,Which War,Death,Grammatical Tense
KR.Books.0369,חיים שנעזבו,997008105307305171,"מגד, איל ",איל מגד,זכר,2020,ידיעות אחרונות,169- בספר דיגיטלי,רומן אוטוביוגרפי,קשה להגדיר,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, ילד או נער",שלוש דמויות מרכזיות (ללא דמויות משנה),זהו סיפור בגוף ראשון שלתוכו נשזרים קטעי שיחה,כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,הפוגות בעלילה לטובות חשבון נפש אישי,הרומן אינו מייחד מקום משמעותי לשפות אחרות,טקסטים מאת המחבר.ת עצמו.ה,1,כמה עשורים,"המחצית השניה של המאה ה-20, המאה ה-21","חדר, דירה, בית מגורים, קיבוץ, ים, אגם, נהר, אי, היפודרום קיסריה המזרחי עם האובליסק המנותץ","ישראל (ארץ, מדינה)","שדות ים, ירושלים, תל אביב, הכרמל",שולית,"אהבה, ילדות, התבגרות, סוף החיים, מוות, משפחה, יחסים בין-דוריים, מצוקה נפשית, תלישות, גאולה (אישית, לאומית, אוניברסלית), פיוס והשלמה, ספרות וכתיבה",שולית,אהבה נכזבת,אב-בן; אב- אם,אין מלחמה ברומן,,"שיבה טובה, המוות, מות האב, מניע את חשבון הנפש. במובן זה הוא מרכזי.",עבר
KR.Books.0370,חיים שנעזבו,997008105307305171,"מגד, איל ",אייל מגד,זכר,2020,ידיעות אחרונות,213,"רומן אוטוביוגרפי, רומן חניכה, סאגה משפחתית, רומן פסיכולוגי, יש מקום לספק אם אכן זהו רומן",קשה להגדיר,קצרות מאוד (עד שני עמודים),"כן, שירים, כן, סיפורים קצרים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,ילד או נער,שלוש דמויות מרכזיות (ללא דמויות משנה),דיאלוגים מדומיינים,קשה להכריע,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,מיתולוגיה יוונית,1,כמה עשורים,המחצית השניה של המאה ה-20,"חדר, דירה, בית מגורים, קיבוץ, ים, אגם, נהר, אי","ישראל (ארץ, מדינה)","קיבוץ שדות ים, קיסריה,תל אביב,ירושלים, כרמל, כינרת...",מרכזית,"גירושין, ילדות, התבגרות, סוף החיים, מוות, משפחה, תלישות, ספרות וכתיבה",שולית,"אהבה שנעה לקראת כשלון והתפרקות, אהבה אבודה בראשיתית בין בן לאב.",אבות-בנים,אין מלחמה ברומן,,מחלה,עבר
KR.Books.0371,חימו מלך ירושלים,990021396200205171,"קניוק, יורם ",יורם קניוק,זכר,1966,עם עובד,175,"רומן היסטורי, רומן מלחמה",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות חז""ל (משנה, תלמוד, מדרש), כתבים נוצריים, רעיונות מהוולגטה של הירונימוס",1,חודשיים עד אחד-עשר חודשים,"המחצית הראשונה של המאה ה-20, מלחמת 1948","מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), ירושלים, מנזר נוצרי, ״מנזר הירונימוס הקדוש״","ישראל (ארץ, מדינה)","ירושלים, תל-אביב",מרכזית,"אהבה, נישואין, חתונה, סוף החיים, מוות, מצוקה גופנית, מחלה, מצוקה נפשית, בתי חולים, בתי אבות, מוסדות טיפוליים, נצרות, יחסי יהודים - לא-יהודים, מלחמה",מרכזית,"אהבה שנעה לקראת כשלון והתפרקות, התאהבות, כמעט משיחית, של אחות בפצוע אנוש שאינו מתקשר עמה בכלל",יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,"מלחמה העצמאות, 1948","מוות במלחמה, מוות של פצועים בבית החולים, המתת חסד שעושה הגיבורה לאהובה חימו.",הווה
KR.Books.0372,חלקים אנושיים,,,אורלי קסטל בלום,נקבה,2002,כנרת,267,רומן חברתי,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),לא,לא רלוונטי,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,חודשיים עד אחד-עשר חודשים,המחצית הראשונה של המאה ה-20,"דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)","תל אביב, ירושלים, לוד",מרכזית,"הלוויה, שבעה, עוני ועושר, פערים מעמדיים, יחסי מזרחים-אשכנזים, מלחמה",שולית,קשה להגדיר,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,פיגועים,"מחלה, תאונה, מוות במלחמה",עבר
KR.Books.0373,חמור,997007606789705171,"ברדוגו, סמי ",סמי ברדוגו,זכר,2019,הספריה החדשה,260,רומן פסיכולוגי,"הרומן כתוב ברצף אחד ואינו מחולק לפרקים, שערים או כרכים",,לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,ימים,המאה ה-21,"דירה, בית מגורים","ישראל (ארץ, מדינה)",חיפה- ומושב בת הדר,מרכזית,"אהבה, משפחה, מצוקה נפשית, טבע וסביבה",שולית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אבות-בנים, אמהות-בנים, המשפחה מופיע כל הזמן בארוע העבר הטראומטי",אין מלחמה ברומן,,"מחלה, תאונה",זמנים דקדוקיים מעורבים
KR.Books.0374,חמור,997007606789705171,"ברדוגו, סמי ",סמי ברדוגו,נקבה,2019,הספריה החדשה,,רומן זרם-תודעה,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים",כן,קשה להגדיר,קשה להגדיר,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,4,שבוע עד חודש,"המחצית השניה של המאה ה-20, המאה ה-21","דירה, בית מגורים","ישראל (ארץ, מדינה)","אשקלון, קריית ים",מרכזית,"משפחה, יחסים בין-דוריים, מצוקה גופנית, מחלה, פערים מעמדיים, יחסי מזרחים-אשכנזים, הגירה, מיניות, זהות מינית, יחסי מין, השכלה (לימודים)",שולית,קשה להגדיר,"אבות-בנים, אמהות-בנים",אין מלחמה ברומן,,התאבדות,הווה
KR.Books.0375,חמישה חלומות,990035376670205171,,עוזי וייל,זכר,2013,מודן,276,סאגה משפחתית,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, סיפורים קצרים","הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, טלפון, דואר אלקטרוני",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,כמה עשורים,המאה ה-21,"חדר, דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), רחוב, כביש, דרך, שביל, עיר","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, ילדות, התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, שיגעון, יחסים בין-דוריים, צרכנות, עוני ועושר, מוסר (אתיקה, שאלות מוסריות), פיוס והשלמה, אוניברסיטה, אקדמיה",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש","אבות-בנות, אמהות-בנים",אין מלחמה ברומן,,מחלה,הווה
KR.Books.0376,חמסין וציפורים משוגעות,990022012440205171,"אביגור-רותם, גבריאלה ",גבריאלה אביגור-רותם,נקבה,2001,קשת,373,"רומן אוטוביוגרפי, רומן חניכה",הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"אשה, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, טלפון",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),קשה להגדיר,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,4,כמה עשורים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, כפר","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, התבגרות, סוף החיים, מוות, משפחה, תלישות, שואה",מרכזית,קשה להגדיר,"אבות-בנות, אמהות-בנות",שולית,,מחלה,הווה
KR.Books.0377,חמסין וציפורים משוגעות,990022012440205171,"אביגור-רותם, גבריאלה ",גבריאלה אביגור רותם,נקבה,2001,קשת,373,רומן זרם-תודעה,הרומן מחולק לחלקים/שערים/כרכים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,אשה,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,יומנים להשלמת והבהרת האירועים ההיסטוריים,"יידיש, צ'כית",,1,חודשיים עד אחד-עשר חודשים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, שכונה בפאתי מושבה","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, ילדות, התבגרות, מצוקה נפשית, ציונות, הגירה, שואה, טבע וסביבה",מרכזית,אהבה שלא הצליחה להתממש,אבות-בנות,מרכזית,"מלחמת העולם השנייה,","תאונה, שיבה שאינה טובה,",זמנים דקדוקיים מעורבים
KR.Books.0378,חמצן,,,אמיר זיו,זכר,2020,עם עובד,,"סאגה משפחתית, רומן פסיכולוגי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,קשה להגדיר,מספרים מתחלפים,,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),קשה להגדיר,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,ימים,המאה ה-21,"חדר, דירה, בית מגורים, ים, אגם, נהר, אי","ישראל (ארץ, מדינה)",תל אביב,שולית,"התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, יחסים בין-דוריים, מצוקה נפשית, פשע (רצח, שוד, וכו'), בתי משפט, בתי כלא, מוסדות חוק ואכיפה, מוסר (אתיקה, שאלות מוסריות), נקמה, מיניות, זהות מינית, יחסי מין",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש","אבות-בנות, אמהות-בנות, סבים-נכדים",אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0379,חמצן,,,אמיר זיו,זכר,2020,עם עובד,254,"סאגה משפחתית, רומן חברתי",הרומן מחולק לפרקים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות (ללא דמויות משנה),"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,ימים,המאה ה-21,"חדר, דירה, בית מגורים, כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), רחוב, כביש, דרך, שביל, ים, אגם, נהר, אי","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, גירושין, התבגרות, משפחה, יחסים בין-דוריים, פשע (רצח, שוד, וכו'), בתי משפט, בתי כלא, מוסדות חוק ואכיפה, עוני ועושר, פערים מעמדיים, מוסר (אתיקה, שאלות מוסריות), מיניות, זהות מינית, יחסי מין",מרכזית,אהבה שנעה לקראת כשלון והתפרקות,"אבות-בנות, אמהות-בנים, סבים-נכדים",אין מלחמה ברומן,,המוות אינו מרכזי ברומן,עבר
KR.Books.0380,חסד ספרדי,990029075170205171,"יהושע, א.ב., q(אברהם ב.) ",אב יהושע,זכר,2011,הספריה החדשה,374,"פנטזיה, רומן חברתי, רומן על יצירתיות אמנותית; רומן על בעיות החברה הישראלית","הרומן כתוב ברצף אחד ואינו מחולק לפרקים, שערים או כרכים",קצרות (שלושה עד עשרה עמודים),"כן, סיפורים קצרים, אמנות הציור",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות (ללא דמויות משנה),"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו), ספרות אירופית מהמאה ה - 16",1,כמה עשורים,"המחצית השניה של המאה ה-20, המאה ה-21","חדר, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר, כפר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה)","ישראל (ארץ, מדינה), מערב אירופה, סקנדינביה וחצי האי האיברי",סנטיאגו דה קומפוסטלה,מרכזית,"אהבה, גיל העמידה, יחסים בין-דוריים, יהדות, נצרות, הסכסוך הישראלי-פלסטיני, יחסי ערבים-יהודים, יחסי יהודים - לא-יהודים, יחסי מזרחים-אשכנזים, מסעות, נדודים, טיולים, מיניות, זהות מינית, יחסי מין, טבע וסביבה, פוליטיקה",מרכזית,"אהבה נכזבת, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש","שלוש השמויות המרכזיות, שאינן בנות משפחה אחת",שולית,,המוות אינו מרכזי ברומן,הווה
KR.Books.0381,חשד לשטיון,990032547600205171,,מאיה ערד,נקבה,2011,חרגול,333,"סאגה משפחתית, רומן חברתי",הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,אשה,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,קשה להגדיר,קשה להגדיר,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",אנגלית,"ספרות עברית מתקופת ההשכלה ו/או התחייה, ספרות ישראלית (מ- 1948 ואילך)",1,כמה עשורים,המאה ה-21,"חדר, דירה, בית מגורים, עיר",צפון אמריקה (ארצות הברית וקנדה),,מרכזית,"אהבה, נישואין, חתונה, ילדות, התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, זקנה, שיגעון, מצוקה גופנית, מחלה, מצוקה נפשית, יהדות, ציונות, עוני ועושר, פערים מעמדיים",מרכזית,קשה להגדיר,"אבות-בנות, אמהות-בנות",אין מלחמה ברומן,,מחלה,קשה להגדיר
KR.Books.0382,חתן הפרס,,,יעל טבת קלגסבלד,נקבה,2020,זמורה ביתן,270,רומן חברתי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות ישראלית (מ- 1948 ואילך), המחזה גורודיש והמהומה שהתפתחה בעקבותיו.",1,שנה עד עשור,המאה ה-21,עיר,"ישראל (ארץ, מדינה)",תל אביב,מרכזית,"נישואין, חתונה, סוף החיים, מוות, משפחה, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, בתי חולים, בתי אבות, מוסדות טיפוליים, צה""ל, מלחמה, ספרות וכתיבה",מרכזית,אהבה שנעה לקראת כשלון והתפרקות,אבות-בנות,שולית,מלחמת יום כיפור. המחזה גורודיש,מחלה,הווה
KR.Books.0383,טבילה קטלנית,990012332300205171,"עריידי, נעים ",נעים עריידי,זכר,1992,ביתן,107,N/A,הרומן מחולק לפרקים,3,,,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),מספר דמות: מרכזית,"גבר, ערבי.ה, דרוזי",,,,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,,,1,כמה עשורים,המאה ה-20 (מ-1948),"עיר, כפר, ישראל",,,,"נישואין, שיגעון, נצרות, יחסי-מין, חתונה, אוניברסיטה, בית חולים, יחסי ערבים-יהודים, תלישות",,,אבות-בנים,N/A,,,
KR.Books.0384,טיט,990038834560205171,"בורשטיין, דרור ",דרור בורשטיין,זכר,2016,כתר,331,רומן היסטורי,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,קצרות (שלושה עד עשרה עמודים),"כן, שירים, ציטוטין מנבואות ירמיהו",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"תנ""ך",4,כמה עשורים,"תקופת התנ""ך, העת העתיקה, המאורעות מתקופת התנ""ך מתרחשים בירושלים כיום.",עיר,"ישראל (ארץ, מדינה)","ירושלים, בבל.",מרכזית,"מצוקה נפשית, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מלחמה",אין אהבה ברומן,,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,"כיבוש א""י בידי הבבלים.","מחלה, מוות במלחמה",עבר
KR.Books.0385,טיסת מכשירים,,,אמנון נבות,זכר,1988,כתר,139,"רומן אוטוביוגרפי, רומן חניכה, רומן זרם-תודעה, דיסטופיה, רומן פסיכולוגי, רומן חברתי",הרומן מחולק לחלקים/שערים/כרכים,קצרות (שלושה עד עשרה עמודים),"כן, שירים, אמרות של מנהיגים","הטקסט מופיע כגוש אחד, ללא פסקאות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים",לא. ברומן עלילות רבות המשתרגות זו בזו,"אקספוזיציה דחויה (מופיעה לאחר תחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",רומנית,"תנ""ך, ספרות ישראלית (מ- 1948 ואילך), ספרות פופולרית ישראלית, ספרי ילדים, אנציקלופדיות לנוער,",4,חודשיים עד אחד-עשר חודשים,המחצית השניה של המאה ה-20,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), שכונות פריפריה של בני ברק ורמת גו","ישראל (ארץ, מדינה)","שיכון ו בבני ברק, גבעת שמואל, רמת עמידר",מרכזית,"ילדות, התבגרות, שיגעון, מצוקה נפשית, אלימות פיסית, מילולית, מנטאלית, פערים מעמדיים, הגירה, שואה, מיניות, זהות מינית, יחסי מין",אין אהבה ברומן,,"אבות-בנים, אבות-בנות",מרכזית,מלחמת העצמאות ומלחמת כנופיות נערים,"התאבדות, רצח",זמנים דקדוקיים מעורבים
KR.Books.0386,טקסטיל,,,אורלי קסטל-בלום,נקבה,2006,הקיבוץ המאוחד,220,רומן חברתי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,אנגלית,,1,חודשיים עד אחד-עשר חודשים,המאה ה-21,עיר,"ישראל (ארץ, מדינה), צפון אמריקה (ארצות הברית וקנדה)","תל-אביב, איטקה.",מרכזית,"משפחה, יחסים בין-דוריים, מצוקה נפשית",שולית,,"אמהות-בנים, אמהות-בנות",אין מלחמה ברומן,,כתוצאה מניתוח פלסטי.,עבר
KR.Books.0387,טרף קל,,,ישי שריד,זכר,2000,ידיעות אחרונות,292,בלש,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),"מכתבים, קטעי יומן",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים, טלפון",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,שנה עד עשור,המחצית השניה של המאה ה-20,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה), המזרח התיכון והמפרץ הפרסי (לא כולל ישראל שצוינה בנפרד לעיל)","תל-אביב, אופקים, לבנון",מרכזית,"יחסים בין-דוריים, מצוקה נפשית, אלימות פיסית, מילולית, מנטאלית, פשע (רצח, שוד, וכו'), פערים מעמדיים, צה""ל, מלחמה, מיניות, זהות מינית, יחסי מין, אונס",אין אהבה ברומן,,"אבות-בנות, אמהות-בנים",מרכזית,היתקלויות בלבנון,מוות במלחמה,עבר
KR.Books.0388,יהודה איש קריות או חטאיו של גרימוס הקדוש,990013542400205171,,יגאל מוסינזון,זכר,1962,עם עובד,222,רומן היסטורי,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),ציטוטים מהברית החדשה,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, יהודי.ה",דמות מרכזית אחת (ללא דמויות משנה),"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",לטינית קצת,"מיתולוגיה יוונית, הברית החדשה",3,חודשיים עד אחד-עשר חודשים,"שלהי העת העתיקה, המאה הראשונה","חדר, דירה, בית מגורים, כפר","חבל הבלקן (טורקיה, יוון, בולגריה, סרביה, קרואטיה וכו'; לא כולל איטליה ורומניה)","גרימוס, רומא, ירושלים",שולית,"אהבה, נישואין, חתונה, סוף החיים, מוות, משפחה, שיגעון, מצוקה נפשית, אלימות פיסית, מילולית, מנטאלית, יהדות, נצרות, מוסדות דתיים, יחסי יהודים - לא-יהודים, תלישות, מסעות, נדודים, טיולים, משיחיות",אין אהבה ברומן,,יחסים בין דוריים אינם מרכזיים ברומן,אין מלחמה ברומן,,"רצח, צליבה, הוצאה להורג",עבר
